indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2013-03,Patagonia,1 y 2 estrellas,19018639,
2013-03,Patagonia,3 estrellas/boutiques/aparts,54264247,
2013-03,Patagonia,4 y 5 estrellas,59735937,
2013-03,Patagonia,Para Hoteles,30827902,
2013-04,Buenos Aires,1 y 2 estrellas,7641702,
2013-04,Buenos Aires,3 estrellas/boutiques/aparts,14707563,
2013-04,Buenos Aires,4 y 5 estrellas,19350983,
2013-04,Buenos Aires,Para Hoteles,11194351,
2013-04,CABA,1 y 2 estrellas,14173584,
2013-04,CABA,3 estrellas/boutiques/aparts,58597598,
2013-04,CABA,4 y 5 estrellas,214449849,
2013-04,CABA,Para Hoteles,13209948,
2013-04,Córdoba,1 y 2 estrellas,8397378,
2013-04,Córdoba,3 estrellas/boutiques/aparts,14661980,
2013-04,Córdoba,4 y 5 estrellas,12921969,
2013-04,Córdoba,Para Hoteles,12719284,
2013-04,Cuyo,1 y 2 estrellas,8615995,
2013-04,Cuyo,3 estrellas/boutiques/aparts,25258358,
2013-04,Cuyo,4 y 5 estrellas,50619526,
2013-04,Cuyo,Para Hoteles,3243926,
2013-04,Litoral,1 y 2 estrellas,7721383,
2013-04,Litoral,3 estrellas/boutiques/aparts,25991239,
2013-04,Litoral,4 y 5 estrellas,55287786,
2013-04,Litoral,Para Hoteles,8385722,
2013-04,Norte,1 y 2 estrellas,7625140,
2013-04,Norte,3 estrellas/boutiques/aparts,29604243,
2013-04,Norte,4 y 5 estrellas,43030337,
2013-04,Norte,Para Hoteles,7858398,
2013-04,Patagonia,1 y 2 estrellas,13252592,
2013-04,Patagonia,3 estrellas/boutiques/aparts,34395179,
2013-04,Patagonia,4 y 5 estrellas,35316962,
2013-04,Patagonia,Para Hoteles,14537457,
2013-05,Buenos Aires,1 y 2 estrellas,3152723,
2013-05,Buenos Aires,3 estrellas/boutiques/aparts,11468629,
2013-05,Buenos Aires,4 y 5 estrellas,14349906,
2013-05,Buenos Aires,Para Hoteles,6793245,
2013-05,CABA,1 y 2 estrellas,15751767,
2013-05,CABA,3 estrellas/boutiques/aparts,60148214,
2013-05,CABA,4 y 5 estrellas,205481155,
2013-05,CABA,Para Hoteles,15123607,
2013-05,Córdoba,1 y 2 estrellas,6671837,
2013-05,Córdoba,3 estrellas/boutiques/aparts,14140995,
2013-05,Córdoba,4 y 5 estrellas,13363227,
2013-05,Córdoba,Para Hoteles,8326752,
2013-05,Cuyo,1 y 2 estrellas,6922572,
2013-05,Cuyo,3 estrellas/boutiques/aparts,21337176,
2013-05,Cuyo,4 y 5 estrellas,60786071,
2013-05,Cuyo,Para Hoteles,2891127,
2013-05,Litoral,1 y 2 estrellas,7860603,
2013-05,Litoral,3 estrellas/boutiques/aparts,27525347,
2013-05,Litoral,4 y 5 estrellas,61921887,
2013-05,Litoral,Para Hoteles,8408762,
2013-05,Norte,1 y 2 estrellas,9073856,
2013-05,Norte,3 estrellas/boutiques/aparts,27669583,
2013-05,Norte,4 y 5 estrellas,39187903,
2013-05,Norte,Para Hoteles,7318511,
2013-05,Patagonia,1 y 2 estrellas,11264312,
2013-05,Patagonia,3 estrellas/boutiques/aparts,27652862,
2013-05,Patagonia,4 y 5 estrellas,29636719,
2013-05,Patagonia,Para Hoteles,8419967,
2013-06,Buenos Aires,1 y 2 estrellas,3678291,
2013-06,Buenos Aires,3 estrellas/boutiques/aparts,14503536,
2013-06,Buenos Aires,4 y 5 estrellas,19684533,
2013-06,Buenos Aires,Para Hoteles,9194436,
2013-06,CABA,1 y 2 estrellas,15332339,
2013-06,CABA,3 estrellas/boutiques/aparts,62359150,
2013-06,CABA,4 y 5 estrellas,196390784,
2013-06,CABA,Para Hoteles,13481046,
