indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-10,Córdoba,4 y 5 estrellas,857,
2012-10,Córdoba,Para Hoteles,1395,
2012-10,Cuyo,1 y 2 estrellas,996,
2012-10,Cuyo,3 estrellas/boutiques/aparts,1875,
2012-10,Cuyo,4 y 5 estrellas,2517,
2012-10,Cuyo,Para Hoteles,866,
2012-10,Litoral,1 y 2 estrellas,821,
2012-10,Litoral,3 estrellas/boutiques/aparts,1978,
2012-10,Litoral,4 y 5 estrellas,3409,
2012-10,Litoral,Para Hoteles,1392,
2012-10,Norte,1 y 2 estrellas,888,
2012-10,Norte,3 estrellas/boutiques/aparts,1815,
2012-10,Norte,4 y 5 estrellas,1727,
2012-10,Norte,Para Hoteles,1255,
2012-10,Patagonia,1 y 2 estrellas,1968,
2012-10,Patagonia,3 estrellas/boutiques/aparts,2688,
2012-10,Patagonia,4 y 5 estrellas,2995,
2012-10,Patagonia,Para Hoteles,2170,
2012-11,Buenos Aires,1 y 2 estrellas,1173,
2012-11,Buenos Aires,3 estrellas/boutiques/aparts,2044,
2012-11,Buenos Aires,4 y 5 estrellas,1551,
2012-11,Buenos Aires,Para Hoteles,3265,
2012-11,CABA,1 y 2 estrellas,1020,
2012-11,CABA,3 estrellas/boutiques/aparts,3872,
2012-11,CABA,4 y 5 estrellas,8614,
2012-11,CABA,Para Hoteles,1508,
2012-11,Córdoba,1 y 2 estrellas,1232,
2012-11,Córdoba,3 estrellas/boutiques/aparts,1433,
2012-11,Córdoba,4 y 5 estrellas,844,
2012-11,Córdoba,Para Hoteles,1546,
2012-11,Cuyo,1 y 2 estrellas,1014,
2012-11,Cuyo,3 estrellas/boutiques/aparts,1976,
2012-11,Cuyo,4 y 5 estrellas,2627,
2012-11,Cuyo,Para Hoteles,886,
2012-11,Litoral,1 y 2 estrellas,863,
2012-11,Litoral,3 estrellas/boutiques/aparts,2011,
2012-11,Litoral,4 y 5 estrellas,3508,
2012-11,Litoral,Para Hoteles,1549,
2012-11,Norte,1 y 2 estrellas,842,
2012-11,Norte,3 estrellas/boutiques/aparts,1657,
2012-11,Norte,4 y 5 estrellas,1711,
2012-11,Norte,Para Hoteles,1260,
2012-11,Patagonia,1 y 2 estrellas,1551,
2012-11,Patagonia,3 estrellas/boutiques/aparts,2767,
2012-11,Patagonia,4 y 5 estrellas,3125,
2012-11,Patagonia,Para Hoteles,2726,
2012-12,Buenos Aires,1 y 2 estrellas,1297,
2012-12,Buenos Aires,3 estrellas/boutiques/aparts,2473,
2012-12,Buenos Aires,4 y 5 estrellas,1597,
2012-12,Buenos Aires,Para Hoteles,3263,
2012-12,CABA,1 y 2 estrellas,1018,
2012-12,CABA,3 estrellas/boutiques/aparts,3800,
2012-12,CABA,4 y 5 estrellas,8758,
2012-12,CABA,Para Hoteles,1655,
2012-12,Córdoba,1 y 2 estrellas,1223,
2012-12,Córdoba,3 estrellas/boutiques/aparts,1335,
2012-12,Córdoba,4 y 5 estrellas,873,
2012-12,Córdoba,Para Hoteles,1543,
2012-12,Cuyo,1 y 2 estrellas,976,
2012-12,Cuyo,3 estrellas/boutiques/aparts,1885,
2012-12,Cuyo,4 y 5 estrellas,2596,
2012-12,Cuyo,Para Hoteles,844,
2012-12,Litoral,1 y 2 estrellas,850,
2012-12,Litoral,3 estrellas/boutiques/aparts,1918,
